,epsilon_progress,nfe
0,0,0
1,41,100
2,250,1195
3,467,2289
4,680,3386
5,813,4482
6,906,5577
7,1022,6671
8,1094,7671
9,1167,8768
10,1224,9861
11,1318,10824
