,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,policy
0,524681.6983711036,712735218.6613116,30700000.0,18.04069423833512,0.0001341078661438863,scenario 0 option 1
1,61797703.559097335,712735218.6613116,30700000.0,2214.7911269061615,0.010373862747165034,scenario 0 option 1
2,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
3,46727544.96526117,712735218.6613116,30700000.0,1401.9157868153302,0.0068373092342891685,scenario 0 option 1
4,85044156.09651381,712735218.6613116,30700000.0,807.2204177689546,0.01987779125671113,scenario 0 option 1
5,664292.5212272786,712735218.6613116,30700000.0,24.294477566683355,0.00027358513729197745,scenario 0 option 1
6,3054993.948376832,712735218.6613116,30700000.0,59.601387726546335,0.0008146070517082737,scenario 0 option 1
7,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
8,12298379.413557265,712735218.6613116,30700000.0,296.1600539018041,0.0018140174636715476,scenario 0 option 1
9,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
10,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
11,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
12,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
13,178468.45512527332,712735218.6613116,30700000.0,5.306898844224477,3.792397756592715e-05,scenario 0 option 1
14,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
15,1072086.893658181,712735218.6613116,30700000.0,31.50333722919438,0.0003369492134442343,scenario 0 option 1
16,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
17,1492389.1524979863,712735218.6613116,30700000.0,39.3844119935033,0.00044506958178045647,scenario 0 option 1
18,8557713.743585676,712735218.6613116,30700000.0,192.64486282334911,0.0021595875399161176,scenario 0 option 1
19,68321557.9967793,712735218.6613116,30700000.0,635.5322032605839,0.025527041449355532,scenario 0 option 1
20,12271795.645390902,712735218.6613116,30700000.0,125.8421374933956,0.0038887727975088935,scenario 0 option 1
21,56801733.96542598,712735218.6613116,30700000.0,1272.8798685041054,0.014267142171847864,scenario 0 option 1
22,5101746.904396049,712735218.6613116,30700000.0,186.34159578402003,0.0012264574406964776,scenario 0 option 1
23,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
24,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
25,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
26,1447863.352585504,712735218.6613116,30700000.0,43.54097574226883,0.00030420462972717755,scenario 0 option 1
27,631714685.918587,712735218.6613116,30700000.0,5064.751439470658,0.220916919103937,scenario 0 option 1
28,8201841.310948343,712735218.6613116,30700000.0,227.95569172817156,0.0013313564458321612,scenario 0 option 1
29,2354486.6369589013,712735218.6613116,30700000.0,78.31604993021807,0.0005265741865829634,scenario 0 option 1
30,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
31,186450.93676503838,712735218.6613116,30700000.0,5.42573642517818,4.04616676076787e-05,scenario 0 option 1
32,4646133.056495211,712735218.6613116,30700000.0,152.25123193360534,0.0010553558282085968,scenario 0 option 1
33,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
34,28701814.80429465,712735218.6613116,30700000.0,321.07299910219785,0.010941244824656577,scenario 0 option 1
35,36026249.83350769,712735218.6613116,30700000.0,222.72868324520147,0.006947089168959652,scenario 0 option 1
36,8683391.87359136,712735218.6613116,30700000.0,186.14788248230786,0.0036437125786529735,scenario 0 option 1
37,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
38,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
39,10096059.614969378,712735218.6613116,30700000.0,297.51955004413213,0.0019210453539868619,scenario 0 option 1
40,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
41,1596709.6726039122,712735218.6613116,30700000.0,44.1275213212008,0.00031672988363039295,scenario 0 option 1
42,17194784.251363344,712735218.6613116,30700000.0,794.5798538066647,0.004155448940095132,scenario 0 option 1
43,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
44,6298604.665722582,712735218.6613116,30700000.0,202.66641246865424,0.002623239343034559,scenario 0 option 1
45,0.0,712735218.6613116,30700000.0,0.0,0.0,scenario 0 option 1
