,epsilon_progress,nfe
0,0,0
1,36,100
2,294,1198
3,541,2292
4,737,3385
5,873,4483
6,1010,5571
7,1111,6665
8,1191,7756
9,1255,8844
10,1328,9940
11,1481,11269
