,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,1018723762.9787296,0,0.0,0.0,0.9302349303010167
1,548630408.958143,0,0.0,0.0,0.7808658625625315
2,5966640393.837572,0,0.0,0.0,5.491964175434816
3,653264424.1951811,0,0.0,0.0,0.6199226919166858
4,1936375430.1272693,0,0.0,0.0,3.833476370971829
5,1756007000.3215213,0,0.0,0.0,1.1558982435487877
6,1134607330.4984322,0,0.0,0.0,1.5578291632647772
7,119007252.06079616,0,0.0,0.0,0.11966257627046914
8,1727098730.9722128,0,0.0,0.0,2.3681894657368785
9,607163258.0664042,0,0.0,0.0,0.4051449007837019
10,1025690184.3472826,0,0.0,0.0,0.7848286904667382
11,2557694521.0116115,0,0.0,0.0,1.987353925764882
12,3256831649.692266,0,0.0,0.0,2.010013653882028
13,3712910430.105397,0,0.0,0.0,2.2189995841849344
14,3432976745.7967296,0,0.0,0.0,1.9728224503251988
15,2017749660.0871112,0,0.0,0.0,3.7186676065564566
16,148555964.74191475,0,0.0,0.0,0.2060683940024409
17,3045002771.167834,0,0.0,0.0,2.016486015980938
18,2870524722.8272433,0,0.0,0.0,1.981992236457571
19,2318972383.9722285,0,0.0,0.0,3.861078681572625
20,3563196331.597409,0,0.0,0.0,2.0047111965458106
21,306320661.89719427,0,0.0,0.0,0.25747028276255896
22,2999603262.3260765,0,0.0,0.0,1.9236834663157194
23,1205220859.2200859,0,0.0,0.0,0.9277432996632193
24,1207672513.6773083,0,0.0,0.0,1.2067211196998158
25,339136837.2298541,0,0.0,0.0,0.3415129389865488
26,3767187946.3267016,0,0.0,0.0,2.6634029457321224
27,3064318280.258926,0,0.0,0.0,1.9763037866125397
28,1215860169.3652794,0,0.0,0.0,0.9441441362805506
29,1485195440.2543557,0,0.0,0.0,2.940550953612472
30,3110146279.398075,0,0.0,0.0,2.428174475757896
31,1932324067.70589,0,0.0,0.0,3.1773465897066746
32,99320196.85242818,0,0.0,0.0,0.1032597080093557
33,3097788380.0190196,0,0.0,0.0,2.020379283253705
34,173858828.77628466,0,0.0,0.0,0.2854721013451723
35,3416263930.5104346,0,0.0,0.0,1.9943876316844416
36,1170607696.2218294,0,0.0,0.0,1.060190026941502
37,2856219245.4368334,0,0.0,0.0,1.977864181442599
38,2069031334.772229,0,0.0,0.0,2.0252434298595228
39,3287852439.9748297,0,0.0,0.0,2.067713862178357
40,1295338052.117645,0,0.0,0.0,1.5739583469871108
41,946876085.5406724,0,0.0,0.0,0.9025100178571834
42,3915510459.9657984,0,0.0,0.0,2.756769100418252
43,1032067354.8727885,0,0.0,0.0,0.8778145521768924
44,494243423.5270238,0,0.0,0.0,1.1566558149346764
