,epsilon_progress,nfe
0,0,0
1,42,100
2,269,1193
3,468,2289
4,650,3384
5,793,4477
6,935,5575
7,1067,6666
8,1199,7763
9,1326,8857
10,1400,9947
11,1596,11289
