,epsilon_progress,nfe
0,0,0
1,29,100
2,265,1196
3,487,2295
4,673,3394
5,821,4492
6,951,5587
7,1040,6686
8,1105,7778
9,1169,8872
10,1215,9964
11,1342,10907
